timestamp	branch	commit	scenario	input_seconds	iterations	status	mean_ms	min_ms	max_ms	mean_alloc_mb	mean_peak_private_delta_mb	mean_live_managed_delta_mb	total_samples	mean_checksum
2026-04-17T19:42:57	main	6810801	load-process	60	2	crash								
2026-04-17T19:44:02	main	6810801	load-process	60	2	crash								
2026-04-17T19:46:47	main	6810801	load-process	60	2	ok	27.9463	26.9919	28.9007	11.790897369384766	2.552734375	9.800952911376953	960000	-0.270721435546875
2026-04-17T19:46:47	branch	4eb7070	load-process	60	2	ok	23.29155	21.953	24.6301	3.817779541015625	4.265625	3.841503143310547	960000	-0.270721435546875
2026-04-17T19:46:48	main	6810801	load-process	240	1	ok	90.1697	90.1697	90.1697	46.91588592529297	47.03125	46.94829559326172	3840000	-1.0828857421875
2026-04-17T19:46:48	branch	4eb7070	load-process	240	1	ok	74.471	74.471	74.471	14.965095520019531	15.16796875	14.9951171875	3840000	-1.0828857421875
2026-04-17T19:46:48	main	6810801	stream-process	240	1	unsupported	0	0	0	0	0	0	0	0
2026-04-17T19:46:48	branch	4eb7070												
2026-04-17T19:49:39	main	6810801	load-process	180	3	ok	67.8271	64.6525	70.1883	43.19302876790365	28.569010416666668	40.515027364095054	2880000	-0.812164306640625
2026-04-17T19:49:40	branch	4eb7070	load-process	180	3	ok	56.44486666666668	54.6756	58.8265	11.227592468261719	11.673177083333334	11.251490275065104	2880000	-0.812164306640625
2026-04-17T19:49:41	main	6810801	load-process	900	2	ok	326.66729999999995	325.823	327.5116	183.6343116760254	61.845703125	167.4963035583496	14400000	-4.060821533203125
2026-04-17T19:49:42	branch	4eb7070	load-process	900	2	ok	272.70084999999995	269.6362	275.7655	55.647274017333984	28.83203125	55.67423629760742	14400000	-4.060821533203125
2026-04-17T19:49:42	main	6810801	stream-process	900	2	unsupported	0	0	0	0	0	0	0	0
2026-04-17T19:49:43	branch	4eb7070	stream-process	900	2	ok	270.32455	266.2605	274.3886	59.3487663269043	22.72265625	7.475364685058594	14400000	-4.060821533203125
2026-04-17T19:54:22	branch	worktree	stream-process	900	2	ok	356.56489999999997	322.7844	390.3454	0.7463569641113281	2.5625	0.7741546630859375	14400000	-4.060821533203125
2026-04-17T20:20:04	branch	worktree	stream-process	180	3	ok	61.48316666666667	58.809	64.6435	3.9158604939778647	4.360677083333333	3.9466730753580728	2880000	-0.812164306640625
2026-04-17T20:20:04	branch	worktree	stream-process	240	2	ok	81.4422	80.3236	82.5608	3.9486732482910156	4.220703125	3.974773406982422	3840000	-1.0828857421875
2026-04-17T20:20:04	branch	worktree	stream-process	900	2	ok	255.08375	253.4667	256.7008	4.389125823974609	6.130859375	4.416313171386719	14400000	-4.060821533203125
2026-04-17T20:20:04	branch	worktree	stream-process	900	2	ok	346.34524999999996	335.9405	356.75	2.578472137451172	3.77734375	2.601886749267578	14400000	5.92071533203125
2026-04-17T20:20:04	branch	worktree	stream-process	900	2	ok	343.67515000000003	334.9679	352.3824	6.240985870361328	7.435546875	6.281585693359375	14400000	1.8603515625
2026-04-17T20:20:04	branch	worktree	stream-process	900	2	ok	351.63525000000004	346.3247	356.9458	11.735607147216797	9.3515625	11.125213623046875	14400000	-1.815216064453125
